1,维持蛋白质二级结构稳定的主要因素是,A、静电作用力B、氢键C、疏水键D、范德华作用力,4,B,,0,0
1,下面哪一项代谢是在细胞质内进行的,A、脂肪酸的β-氧化         B、氧化磷酸化        C、三羧酸循环              D、脂肪酸合成,4,D,,0,0
1,米氏常数Km是一个用来度量,A、酶和底物亲和力大小的常数?????????????B、酶促反应速度大小的常数??C、酶被底物饱和程度的常数???????????????D、酶的稳定性的常数,4,A,,0,0
1,从血红蛋白规水解得到的氨基酸的手性光学性质：,A．都是L型的；  B。都是左旋的；  C。并非都是L型的；  D。有D型的也有L型的,4,A,,0,0
1,生物膜的厚度在,A．100nm左右    B．10nm左右        C．1nm左右,3,B,,0,0
1,真核生物中经RNA聚合酶Ⅲ催化转录的产物是,A．mRNA   B．hnRNA    C．rRNA和5SRNA    D．tRNA和5SRNA,4,D,真核生物RNA聚合酶Ⅲ的别名叫小分子RNA聚合酶，负责包括tRNA和5SrRNA在内的小分子RNA的合成,0,0
1,消化系统的水解酶，大多是以非活性的酶原形式合成出来的，但也有例外，如,A．核糖核酸酶    B．羟肽酶    C．胃蛋白酶,3,A,核糖核酸酶没有酶原形式，具有酶原形式的酶多数是蛋白酶，以免自溶,0,0
1,在染色体中DNA的构型主要是,A．A型    B．B型    C．C型     D．Z型,4,B,,0,0
1,超过滤于凝胶过滤,"A．是两种性质不同，用处不同的蛋白质制备方法  
B．是一种性质，但表现方法不同的蛋白质制备方法
C．是同一种方法的两种名词
",3,A,超滤指大分子不能通过滤膜，仅通过分子，而凝胶过滤时大分子不能进入分离介质，故先被洗脱,0,0
1,研究蛋白质结构常用氧化法打开二硫键，所用的化学试剂是 ,A．亚硝酸       B．过氯酸          C．硫酸             D．过甲酸,4,D,,0,0
